date,Bitcoin_views,Ethereum_views,Litecoin_views,Dogecoin_views,Binance_views,Coinbase_views,BTC_Close,BTC_Volume
2018-01-01,66949,6804,3340,4368,141,3660,13657.200195,10291200000.0
2018-01-02,90271,11524,5256,6648,141,5535,14982.099609,16846600192.0
2018-01-03,99223,12196,5850,7881,141,6699,15201.0,16871900160.0
2018-01-04,88224,13717,6462,9429,141,7872,15599.200195,21783199744.0
2018-01-05,81601,12743,5125,11074,141,7134,17429.5,23840899072.0
2018-01-06,81564,9949,5462,11598,141,5458,17527.0,18314600448.0
2018-01-07,80580,11592,5318,8630,141,5515,16477.599609,15866000384.0
2018-01-08,89326,15186,5700,12466,141,6225,15170.099609,18413899776.0
2018-01-09,93964,15188,5633,9536,141,6057,14595.400391,16659999744.0
2018-01-10,101726,17689,6481,7296,141,5502,14973.299805,18500800512.0
2018-01-11,90383,13560,4682,5713,141,5047,13405.799805,16534099968.0
2018-01-12,78303,12038,3931,5774,141,4292,13980.599609,12065699840.0
2018-01-13,70335,11116,3812,4540,141,3794,14360.200195,12763599872.0
2018-01-14,60970,10514,3902,4554,141,3486,13772.0,11084099584.0
2018-01-15,65857,11894,3914,6144,141,3659,13819.799805,12750799872.0
2018-01-16,76274,13226,4111,5080,141,4175,11490.5,18853799936.0
2018-01-17,91829,12788,4207,5264,141,4561,11188.599609,18830600192.0
2018-01-18,72867,10480,3923,4370,141,4134,11474.900391,15020399616.0
2018-01-19,62607,9450,3304,3960,141,3238,11607.400391,10740400128.0
2018-01-20,53113,7799,3011,3585,141,2565,12899.200195,11801700352.0
2018-01-21,49158,8145,3095,3407,141,2474,11600.099609,9935179776.0
2018-01-22,55522,8585,2957,3522,141,2964,10931.400391,10537400320.0
2018-01-23,50426,8241,2903,4109,141,3394,10868.400391,9660609536.0
2018-01-24,52910,8300,2857,4141,141,3031,11359.400391,9940989952.0
2018-01-25,55993,7894,3120,3907,141,2918,11259.400391,8873169920.0
2018-01-26,47466,7024,3272,3645,141,2692,11171.400391,9746199552.0
2018-01-27,41276,5774,2709,3084,141,2234,11440.700195,7583269888.0
2018-01-28,41881,6502,2774,2880,141,2249,11786.299805,8350360064.0
2018-01-29,43600,7800,2791,4151,141,2365,11296.400391,7107359744.0
2018-01-30,42251,7369,2654,3459,141,2181,10106.299805,8637859840.0
2018-01-31,46740,7714,2778,3861,141,2248,10221.099609,8041160192.0
2018-02-01,50088,7704,2693,3889,141,2296,9170.540039,9959400448.0
2018-02-02,55719,7061,2693,4939,141,2343,8830.75,12726899712.0
2018-02-03,47365,5996,2400,3765,141,1740,9174.910156,7263790080.0
2018-02-04,45525,7909,2626,2967,141,1696,8277.009766,7073549824.0
2018-02-05,59427,13708,2538,2779,141,2185,6955.27002,9285289984.0
2018-02-06,62245,7406,3240,3128,141,2500,7754.0,13999800320.0
2018-02-07,45923,7399,2594,2276,141,2315,7621.299805,9169280000.0
2018-02-08,43539,6265,2289,2905,141,2085,8265.589844,9346750464.0
2018-02-09,43556,5791,2057,3431,141,1923,8736.980469,6784820224.0
2018-02-10,36798,4694,1843,2337,141,1570,8621.900391,7780960256.0
2018-02-11,37293,5519,2034,2438,141,1660,8129.970215,6122189824.0
2018-02-12,45447,6312,2220,2625,141,1896,8926.570313,6256439808.0
2018-02-13,40316,5948,1942,2536,141,1779,8598.30957,5696719872.0
2018-02-14,36872,5871,4142,2683,141,2032,9494.629883,7909819904.0
2018-02-15,38966,6165,5193,3686,141,2368,10166.400391,9062540288.0
2018-02-16,32756,5065,2657,2571,141,2062,10233.900391,7296159744.0
2018-02-17,29889,4332,2281,1951,141,1684,11112.700195,8660880384.0
2018-02-18,28067,4309,2280,1774,141,1453,10551.799805,8744009728.0
2018-02-19,28114,5718,2063,1841,141,1512,11225.299805,7652089856.0
2018-02-20,40395,5667,2365,2321,141,1769,11403.700195,9926540288.0
2018-02-21,26033,5132,2004,2182,141,1549,10690.400391,9405339648.0
2018-02-22,26010,4900,1658,1785,141,1414,10005.0,8040079872.0
2018-02-23,21893,4196,1502,1444,141,1344,10301.099609,7739500032.0
2018-02-24,19814,3750,1277,1227,141,1082,9813.070313,6917929984.0
2018-02-25,27283,6967,1592,1386,141,1095,9664.730469,5706939904.0
2018-02-26,26046,8203,2116,1536,141,1404,10366.700195,7287690240.0
2018-02-27,29257,10713,1846,1463,141,1430,10725.599609,6966179840.0
2018-02-28,24799,8838,1588,1344,141,1235,10397.900391,6936189952.0
2018-03-01,21338,4277,1703,1411,141,1144,10951.0,7317279744.0
2018-03-02,30328,4076,1556,1327,141,1075,11086.400391,7620590080.0
2018-03-03,18238,3260,1468,1317,141,1068,11489.700195,6690570240.0
2018-03-04,19122,3093,1428,1131,141,1019,11512.599609,6084149760.0
2018-03-05,21987,4139,1615,1479,141,1750,11573.299805,6468539904.0
2018-03-06,32332,4185,1614,1612,141,1805,10779.900391,6832169984.0
2018-03-07,26604,3824,1413,1345,141,1725,9965.570313,8797910016.0
2018-03-08,18857,3807,1398,1325,141,1257,9395.009766,7186089984.0
2018-03-09,19575,3510,1105,1123,141,1119,9337.549805,8704190464.0
2018-03-10,17796,3033,1017,1022,141,806,8866.0,5386319872.0
2018-03-11,21810,3709,972,1088,141,840,9578.629883,6296370176.0
2018-03-12,22668,4183,1277,4023,141,1183,9205.120117,6457399808.0
2018-03-13,21747,3847,1197,3144,141,1112,9194.849609,5991139840.0
2018-03-14,20107,3689,1119,1972,141,1382,8269.80957,6438230016.0
2018-03-15,20290,3367,1336,1829,141,1210,8300.860352,6834429952.0
2018-03-16,18473,2978,1078,1830,211,953,8338.349609,5289379840.0
2018-03-17,15044,3022,881,1053,135,849,7916.879883,4426149888.0
2018-03-18,17508,5797,973,1068,186,813,8223.679688,6639190016.0
2018-03-19,29251,26415,1142,1418,257,1103,8630.650391,6729110016.0
2018-03-20,22863,13191,1105,1215,306,1018,8913.469727,6361789952.0
2018-03-21,26958,23134,991,1367,373,1073,8929.280273,6043129856.0
2018-03-22,32776,30672,1157,1254,527,1077,8728.469727,5530390016.0
2018-03-23,27263,25029,946,1274,656,835,8879.620117,5954120192.0
2018-03-24,15234,3092,966,975,480,668,8668.120117,5664600064.0
2018-03-25,13914,2459,956,993,359,739,8495.780273,4569880064.0
2018-03-26,26741,3621,1203,1165,381,971,8209.400391,5921039872.0
2018-03-27,20938,3794,1367,1189,310,1108,7833.040039,5378250240.0
2018-03-28,25819,4440,1729,1244,313,1062,7954.47998,4935289856.0
2018-03-29,18742,5288,2962,1562,368,1343,7165.700195,6361229824.0
2018-03-30,19021,4823,3109,1270,305,1202,6890.52002,6289509888.0
2018-03-31,13350,4087,3148,1247,258,1137,6973.529785,4553269760.0
2018-04-01,14424,4347,3172,1344,268,1067,6844.22998,4532100096.0
2018-04-02,19687,4396,2826,1212,291,1170,7083.799805,4333440000.0
2018-04-03,18898,5182,3001,1278,262,1240,7456.109863,5499700224.0
2018-04-04,21414,5921,3066,1317,304,1328,6853.839844,4936000000.0
2018-04-05,22195,5354,3096,1352,421,1450,6811.470215,5639320064.0
2018-04-06,19322,4567,2644,1282,402,1396,6636.319824,3766810112.0
2018-04-07,18205,5039,2994,1096,369,1120,6911.089844,3976610048.0
2018-04-08,18606,5481,3392,1142,378,1203,7023.52002,3652499968.0
2018-04-09,15723,4651,2922,1198,427,1198,6770.72998,4894060032.0
2018-04-10,19123,4573,2601,1230,442,1274,6834.759766,4272750080.0
2018-04-11,15537,4290,2700,1365,367,1293,6968.319824,4641889792.0
2018-04-12,17741,4569,2742,1371,405,1157,7889.25,8906250240.0
2018-04-13,16030,4019,2638,1464,460,1243,7895.959961,7764460032.0
2018-04-14,12764,3507,2508,1027,391,971,7986.240234,5191430144.0
2018-04-15,12921,3758,2542,1020,371,1072,8329.110352,5244480000.0
2018-04-16,16699,4668,2764,1177,548,1455,8058.669922,5631309824.0
2018-04-17,18189,4278,2802,1357,557,1544,7902.089844,6900879872.0
2018-04-18,17159,5057,3112,1350,501,1533,8163.419922,6529909760.0
2018-04-19,16228,4075,2672,1346,480,1237,8294.30957,7063209984.0
2018-04-20,15985,4636,3050,1334,617,1276,8845.830078,8438110208.0
2018-04-21,16387,4511,2578,1169,478,1009,8895.580078,7548550144.0
2018-04-22,21300,5504,3597,1315,508,1351,8802.459961,6629899776.0
2018-04-23,28166,6878,3787,1495,669,1722,8930.879883,6925190144.0
2018-04-24,22346,6924,3546,1644,875,1692,9697.5,10678800384.0
2018-04-25,19668,5309,2869,1404,979,1455,8845.740234,11083100160.0
2018-04-26,20553,4665,1696,1090,927,1421,9281.509766,8970559488.0
2018-04-27,15876,4012,882,931,1239,891,8987.049805,7566289920.0
2018-04-28,11684,1938,645,837,1124,642,9348.480469,7805479936.0
2018-04-29,11785,2426,787,785,978,687,9419.080078,8853000192.0
2018-04-30,14269,4785,973,981,1225,880,9240.549805,8673920000.0
2018-05-01,14110,3291,726,874,806,885,9119.009766,7713019904.0
2018-05-02,14600,3414,824,879,864,923,9235.919922,7558159872.0
2018-05-03,13477,3479,942,914,958,974,9743.860352,10207299584.0
2018-05-04,14729,3727,955,948,922,959,9700.759766,8217829888.0
2018-05-05,12677,2554,952,746,676,844,9858.150391,7651939840.0
2018-05-06,13678,2331,969,1550,702,780,9654.799805,7222280192.0
2018-05-07,17080,3118,1084,1739,754,1051,9373.009766,7394019840.0
2018-05-08,19962,3317,1077,1998,902,1073,9234.820313,7415869952.0
2018-05-09,16867,2910,995,1344,722,1018,9325.179688,7226890240.0
2018-05-10,17515,3800,1049,1327,780,1052,9043.94043,6906699776.0
2018-05-11,15364,2423,761,1312,822,860,8441.490234,8488520192.0
2018-05-12,13387,2222,624,927,619,641,8504.889648,6821380096.0
2018-05-13,13816,2043,644,943,593,667,8723.94043,5866379776.0
2018-05-14,14904,3125,975,990,912,926,8716.790039,7364149760.0
2018-05-15,15234,3752,895,985,776,1062,8510.379883,6705710080.0
2018-05-16,14503,4497,875,1702,735,1210,8368.830078,6760220160.0
2018-05-17,15599,2855,846,1050,830,970,8094.319824,5862530048.0
2018-05-18,19564,3499,733,948,683,1039,8250.969727,5764190208.0
2018-05-19,15349,2699,588,1002,528,584,8247.179688,4712399872.0
2018-05-20,15779,2986,609,619,548,717,8513.25,5191059968.0
2018-05-21,21575,3192,815,767,715,979,8418.990234,5154990080.0
2018-05-22,14983,2934,743,835,652,939,8041.779785,5137010176.0
2018-05-23,16156,2638,849,990,826,1124,7557.819824,6491120128.0
2018-05-24,14508,2759,740,939,673,937,7587.339844,6049220096.0
2018-05-25,13802,2402,725,715,530,731,7480.140137,4867829760.0
2018-05-26,11409,3061,525,615,437,522,7355.879883,4051539968.0
2018-05-27,23363,6370,807,1711,519,561,7368.220215,4056519936.0
2018-05-28,13694,2272,651,695,570,699,7135.990234,5040600064.0
2018-05-29,13825,2647,728,822,562,846,7472.589844,5662660096.0
2018-05-30,13645,2724,765,764,614,993,7406.52002,4922540032.0
2018-05-31,20504,2639,829,934,661,947,7494.169922,5127130112.0
2018-06-01,11662,2745,722,755,683,802,7541.450195,4921460224.0
2018-06-02,9725,1899,559,678,557,540,7643.450195,4939299840.0
2018-06-03,16001,2234,682,726,601,645,7720.25,4851760128.0
2018-06-04,19183,2895,792,913,769,949,7514.470215,4993169920.0
2018-06-05,25079,2586,5300,1039,748,1260,7633.759766,4961739776.0
2018-06-06,36825,3528,1516,1192,866,1019,7653.97998,4692259840.0
2018-06-07,31536,3138,1049,1537,696,1212,7678.240234,4485799936.0
2018-06-08,25755,2705,962,1327,585,1006,7624.919922,4227579904.0
2018-06-09,21012,1951,584,923,1074,704,7531.97998,3845220096.0
2018-06-10,22801,1890,742,945,987,744,6786.02002,5804839936.0
2018-06-11,25154,2755,905,1243,719,1007,6906.919922,4745269760.0
2018-06-12,20562,2851,1049,1174,707,1148,6582.359863,4654380032.0
2018-06-13,19341,2556,954,1038,653,1028,6349.899902,5052349952.0
2018-06-14,15983,2507,811,911,707,969,6675.350098,5138710016.0
2018-06-15,13205,2193,690,827,543,804,6456.580078,3955389952.0
2018-06-16,11655,1735,560,698,373,562,6550.160156,3194170112.0
2018-06-17,17386,3299,661,790,411,550,6499.27002,3104019968.0
2018-06-18,17898,2944,788,850,514,936,6734.819824,4039200000.0
2018-06-19,15766,2567,737,876,540,885,6769.939941,4057029888.0
2018-06-20,25596,2635,829,940,631,887,6776.549805,3888640000.0
2018-06-21,15643,3090,903,869,673,761,6729.740234,3529129984.0
2018-06-22,13373,2475,782,842,516,720,6083.689941,5079810048.0
2018-06-23,11597,1821,649,655,337,575,6162.47998,3431360000.0
2018-06-24,17672,1990,742,941,415,623,6173.22998,4566909952.0
2018-06-25,17561,2440,704,1023,494,800,6249.180176,5500810240.0
2018-06-26,17717,2466,764,997,634,789,6093.669922,3279759872.0
2018-06-27,17989,2328,741,883,504,793,6157.129883,3296219904.0
2018-06-28,19095,2318,718,793,420,967,5903.439941,3467800064.0
2018-06-29,14756,2206,705,730,471,858,6218.299805,3966230016.0
2018-06-30,14906,1658,529,716,459,600,6404.0,4543860224.0
2018-07-01,15557,1690,640,754,365,617,6385.819824,4788259840.0
2018-07-02,16592,2298,707,914,611,813,6614.180176,4396930048.0
2018-07-03,13998,2291,723,968,515,844,6529.589844,4672309760.0
2018-07-04,13749,2467,699,928,688,776,6597.549805,4176689920.0
2018-07-05,17100,2404,765,1892,569,750,6639.140137,4999240192.0
2018-07-06,12933,2178,642,770,700,653,6673.5,4313959936.0
2018-07-07,8893,1678,465,545,505,578,6856.930176,3961080064.0
2018-07-08,9623,1855,519,603,601,593,6773.879883,3386210048.0
2018-07-09,11197,2924,625,690,664,753,6741.75,3718129920.0
2018-07-10,16790,3349,674,686,594,724,6329.950195,4052430080.0
2018-07-11,12259,2535,666,649,538,741,6394.709961,3644859904.0
2018-07-12,11732,2250,737,649,539,755,6228.810059,3770170112.0
2018-07-13,13504,2188,711,728,580,722,6238.049805,3805400064.0
2018-07-14,12670,1847,562,585,474,703,6276.120117,2923670016.0
2018-07-15,12701,2391,486,631,404,611,6359.640137,3285459968.0
2018-07-16,13290,2534,721,2363,530,989,6741.75,4725799936.0
2018-07-17,12960,2394,689,4004,576,961,7321.040039,5961950208.0
2018-07-18,14290,2302,737,4948,653,931,7370.779785,6103410176.0
2018-07-19,14658,2437,586,3387,620,935,7466.859863,5111629824.0
2018-07-20,13106,2138,586,2305,493,876,7354.129883,4936869888.0
2018-07-21,12226,1590,481,1437,386,660,7419.290039,3726609920.0
2018-07-22,11888,1644,536,1232,348,627,7418.490234,3695460096.0
2018-07-23,14140,2299,665,1453,559,981,7711.109863,5132480000.0
2018-07-24,13519,2500,675,1493,592,1038,8424.269531,7277689856.0
2018-07-25,15289,2459,741,1490,589,1068,8181.390137,5845400064.0
2018-07-26,13985,2376,640,1112,564,1243,7951.580078,4899089920.0
2018-07-27,14782,1947,652,878,476,786,8165.009766,5195879936.0
2018-07-28,13087,1683,607,836,473,647,8192.150391,3988750080.0
2018-07-29,16289,1855,612,920,428,584,8218.459961,4107190016.0
2018-07-30,13657,2559,643,1000,543,889,8180.47998,5551400000.0
2018-07-31,14920,2873,785,1074,600,951,7780.439941,5287530000.0
2018-08-01,14337,2240,689,1263,583,903,7624.910156,4797620000.0
2018-08-02,16057,2544,713,1496,524,914,7567.149902,4214110000.0
2018-08-03,15321,2074,576,1094,491,811,7434.390137,4627150000.0
